ID,AuthorGuestName,AuthorID,CatID,Thời gian,Tiêu đề,Tags,Ảnh bìa,Danh sách hình ảnh,Satus
1,NGUYỄN HÂN,,1,22/04/2025 15:17:00,"Gặp mặt nguyên cán bộ, nhân viên Ban Đấu tranh chính trị và Binh vận tỉnh",cán bộ| chính trị| binh vận| Ban Đấu tranh chính trị,360151.jpg,1_1.jpg| 1_2.jpg| 1_3.jpg,1
2,NGUYỄN HÂN,,1,4/22/25 10:27,Ban Chấp hành Đảng bộ tỉnh họp cho ý kiến về sắp xếp đơn vị hành chính cấp tỉnh và cấp xã,Ban Chấp hành Đảng bộ| sắp xếp đơn vị hành chính,1_BCH_Dang_bo_1_161c9.jpg,1 BCH Đang bo 1.jpg| 1 BCH Đang bo 2.jpg| 1 BCH Đang bo 3.jpg| 1_BCH_Dang_bo_1_161c9.jpg,1
3, Kim Loan,,1,18/04/2025 16:55:00,DỰ KIẾN 58 ĐƠN VỊ HÀNH CHÍNH CẤP XÃ CỦA TỈNH BÌNH ĐỊNH,sáp nhập| đơn vị hành chính| sáp nhập tỉnh,04_bia.jpg,04_bia.jpg,1
4, Kim Loan,,1,4/18/25 15:46,Lễ kỷ niệm 53 năm Ngày giải phóng huyện Hoài Ân,giải phóng Hoài Ân| kỷ niệm,1 Hoai An 1(2).jpg,1 Hoai An 1(2).jpg| 1 Hoai An 3(1).jpg| 20250418_135724.jpg| 1 Hoai An 4(1).jpg,1
5,Trang Lê,,1,16/04/2025 15:14:00,"Hội nghị quán triệt, triển khai thực hiện Nghị quyết Hội nghị lần thứ 11, Ban chấp hành Trung ương Đảng khóa XIII
",Nghị quyết Hội nghị lần thứ 11| Ban chấp hành Trung ương Đảng khóa XIII,2hn.jpg,2hn.jpg| 1 chinh.jpg| 4 hn(1).jpg| 3 To lam.jpg| 1TT HN.jpg,1
6,HỒNG PHÚC,,1,4/4/25 23:29,"Đoàn tàu chở lực lượng vào TP Hồ Chí Minh diễu binh, diễu hành được chào đón nồng ấm tại Ga Diêu Trì",diễu binh| diễu hành,IMG_3325.jpeg,IMG_3325.jpeg| IMG_3326.jpeg| IMG_3327.jpeg,1
7,Trang Lê,,1,01/04/2025 15:24:00,Bí thư Tỉnh ủy làm việc với Ban Thường vụ Đảng ủy UBND tỉnh,Ban Thường vụ Đảng ủy UBND tỉnh,DU4 _1đ.jpg,DU4 _1đ.jpg| DU5 _1.jpg| DU1 _1.jpg,1
8,Kim Loan,,1,31/03/2025 17:09:00,"Gặp mặt, trao quyết định nghỉ hưu cho Phó Giám đốc Sở Xây dựng Võ Hữu Thiện",Phó Giám đốc Sở Xây dựng Võ Hữu Thiện| nghỉ hưu,2(3).jpg,2(3).jpg| 4(4).jpg| 3(5).jpg,1
9,Trang Lê,,1,30/03/2025 18:23:00,Gặp mặt Quân – Dân – Chính tiêu biểu tỉnh Bình Định,Quân – Dân – Chính| Bình Định,z6457122864013_24b3387fe523f6b8a0d484d39b0a824f.jpg,z6457122864013_24b3387fe523f6b8a0d484d39b0a824f.jpg| z6457122852396_eb2df9266fbaf03476ae035820d6eb55.jpg| z6457122868809_eab739d637b7a1299f31371c59f8e155.jpg| 3(19).jpg| 1(16).jpg| z6457122879383_3d507cd4724cba8e209929d43668bca4.jpg| 2(26).jpg,1
10,DTD,,1,30/03/2025 22:53:00,Lễ Kỷ niệm 50 năm Ngày giải phóng tỉnh Bình Định, Kỷ niệm 50 năm Ngày giải phóng tỉnh Bình Định,IMG_3187.jpeg,IMG_3187.jpeg| IMG_3177.jpeg| IMG_3176.jpeg| IMG_3185.jpeg|IMG_3181.jpeg,1
11,THÀNH NGUYÊN,,2,23/04/2025 7:03:00,Chung tay bảo vệ hệ sinh thái rừng ngập mặn,phát triển KT-XH và môi trường| tuyên truyền bảo vệ,11.jpg,11.jpg,1
12,T.SỸ,,2,22/04/2025 21:48:00,Vân Canh cần tập trung hỗ trợ đầu tư phát triển Khu công nghiệp Becamex VSIP Bình Định,phát triển KT-XH| UBND huyện Vân Canh| hỗ trợ,12_1.jpg,12_1.jpg| 12_2.jpg| 12_3.jpg| 12_4.jpg| 12_5.jpg| 12_6.jpg,1
13,T.SỸ,,2,21/04/2025 22:21:00,"Thu hút 36 dự án đầu tư mới, tổng vốn đầu tư trên 13.596 tỷ đồng",xúc tiến đầu tư| dự án mới,,,1
14,Lê Thúy/NLĐO,,2,21/04/2025 9:45:00,Sẽ tăng mạnh nhập khẩu điện từ Lào,nhập khẩu điện từ Lào| nhà máy điện vận hành thương mại| Hiệp định giữa hai Chính phủ,14.jpg,14.jpg,1
15,T.SỸ,,2,21/04/2025 6:52:00,CácB10:F16 đơn vị khối huyện giải ngân trên 21% kế hoạch vốn đầu tư công năm 2025,giải ngân| vốn đầu tư công,,,1
16,TRỌNG LỢI,,2,"26/03/2025, 23:15",Thúc đẩy kinh tế xanh vì một tương lai bền vững,khởi nghiệp xanh| bảo vệ và cải thiện môi trường sống| GREENIF,16.jpg,16.jpg,1
17,Trang Lê,,2,4/18/25 19:01,Lãnh đạo UBND tỉnh làm việc với Đoàn công tác của Ngân hàng thế giới,Bà Yoonhee Kim| ngân hàng thế giới| giải phóng mặt bằng,17_1.jpg,17_1.jpg| 17_2.jpg| 17_3.jpg| 17_4.jpg| 17_5.jpg,1
18,TIẾN TRUNG/NDO,,2,23/03/2025 16:23:00,Quy định mức phí duy trì tên miền quốc gia .vn từ 3.5.2025,tên miền quốc gia .vn| Nghị định số 82/2023/NĐ-CP,18.jpg,18.jpg,1
19,THÀNH NGUYÊN,,2,19/03/2025 21:46:00,Chuyển giao kỹ thuật thâm canh cây dừa theo tiêu chuẩn hữu cơ,thâm canh cây dừa theo tiêu chuẩn hữu cơ| Lớp tập huấn,,,1
20,XUÂN THỨC,,2,22/04/2025 10:44:00,Ngư dân Nhơn Lý được mùa cá gần bờ,Nhơn Lý (TP Quy Nhơn)| đánh bắt trong ngày| Ngư dân,20.jpg,20.jpg,1
31,KIỀU VY,,3,24/04/2025 9:52:00,Giải việt dã Công đoàn UBND tỉnh năm 2025: Bệnh viện đa khoa tỉnh giành giải nhất toàn đoàn,chạy,31_2.jpg,,1
32,HUỲNH VỸ,,3,23/04/2025 15:25:00,Bình Định biểu diễn võ cổ truyền tại Chương trình giao lưu Việt Nam - Triều Tiên,võ,32.jpg,,1
33,Trọng Đạt,,3,23/04/2025 9:39:00,Việt Nam đăng cai ba giải đấu lớn cấp châu lục và khu vực của bóng đá nữ trong năm 2025,đá bóng| nữ,33.jpg,,1
34,NGUYỄN NGUYỆT,,3,22/04/2025 15:28:00,"Sôi động Giải Bóng chuyền viên chức, lao động TP Quy Nhơn năm 2025",bóng chuyền,34_jpg,,1
35,HUỲNH VỸ,,3,22/04/2025 9:20:00,Giải bóng đá nam học sinh tiểu học TX An Nhơn 2025: Đội Trường Tiểu học số 2 Đập Đá vô địch,bóng đá| thiếu nhi| nhi đồng,35.jpg,,1
36,Hoàng Trọng,,3,21/09/2022 7:59:00,Cô gái vàng Kickboxing Việt Nam rước đuốc tại Đại hội TDTT tỉnh Bình Định,Kick Boxing,36_1.jpg,,1
37,Hoàng Trọng,,3,03/06/2022 18:02:00,"Các nhà vô địch SEA Games 31 Hằng Nga, Hồng Lệ cảm động khi được tuyên dương",Kick Boxing,37_1.jpg,,1
38,KIÊU VY,,3,24/04/2025 11:07:00,Giải vô địch các CLB võ cổ truyền quốc gia năm 2025: Bình Định nhất toàn đoàn nội dung quyền thuật,võ cổ truyền| võ thuật,38_1.jpg,,1
41,MINH NGỌC,,4,23/04/2025 11:20:00,Tài xế taxi ngăn chặn kịp thời vụ mua bán người,mua bán người,anhbia41.jpg,1.jpg| 2.jpg,1
42,MINH NGỌC,,4,23/04/2025 9:13:00,Tuyên truyền phòng chống tội phạm lừa đảo trên không gian mạng cho dân làng Kà Xim,phòng chống| lừa đảo| dân làng Kà Xim,anhbia42.jpg,1.42.jpg,1
43,NGUYỄN CHƠN,,4,22/04/2025 18:00:00,Chủ tịch UBND tỉnh yêu cầu xử lý nghiêm các vụ việc nữ sinh bị hành hung,hành hung,,,1
44,Theo Hoàng Minh/VOV),,4,22/04/2025 16:21:00,Cảnh báo chiêu trò lừa đảo bán vé máy bay giá rẻ trên mạng,lừa đảo| vé máy bay,anhbia44.jpg,1-44.jpg,1
45,T.LONG,,4,22/04/2025 17:32:00,Truy bắt đối tượng cướp tài sản lẩn trốn từ TP Hồ Chí Minh ra Bình Định,truy bắt| cướp tài sản,anhbia45.jpg,1-45.jpg,1
46,MINH NGỌC,,4,23/04/2025 15:47:00,"Chỉ 1 tuần, 107 tài xế bị tước bằng lái xe",tước bằng lái xe,anhbia46.jpg,1-46.jpg,1
47,Theo DUY CƯỜNG/SGGP,,4,22/04/2025 17:25:00,"Phá đường dây rửa tiền, đánh bạc xuyên quốc gia hơn 600 tỷ đồng/tháng",phá đường dây,anhbia47.jpg,1-47.jpg,1
48,MINH NGỌC,,4,22/04/2025 17:20:00,Quá tải ở bộ phận xử lý vi phạm giao thông qua hình ảnh,xử lý vi phạm giao thông,anhbia48.jpg,1-48.jpg,1
49,K.ANH,,4,23/04/2025 16:40:00,Kịp thời dập tắt đám cháy tại nhà dân,dập tắt đám cháy,anhbia49.jpg,1-49.jpg| 2-49.jpg,1
50,MINH NGỌC,,4,23/04/2025 16:43:00,Kịp thời cứu nạn thanh niên nhảy cầu Thị Nại,nhảy cầu,anhbia50.jpg,1-50.jpg,1
51,TRƯỜNG GIANG,,5,20/04/2025 8:40:00,Bình Định tổ chức Lễ hội Văn hóa Ẩm thực lần II - 2025: Quảng bá tinh hoa ẩm thực và du lịch địa phương,ẩm thực| du lịch,anhbia51.jpg,1-anh51.jpg,1
52,Đức Hồ,,5,20/04/2025 8:52:00,Bầu trời Quy Nhơn rợp bóng sinh vật đại dương,sinh vật đại dương,anhbia52.jpg,1-anh52.jpg| 2-anh52.jpg,1
53,Lê Trân,,5,21/04/2025 18:52:00,Bình Định tổ chức chương trình tham quan cho đại biểu tham dự Liên hoan Truyền hình toàn quốc lần thứ 42 tại Bình Định,sự kiện quốc gia, anhbia53.jpg,1-anh53.jpg| 2-anh53.jpg,1
54,Đức Hồ,,5,24/03/2025 16:47:00,“Cháy”… vé máy bay về Bình Định,vé máy bay về Bình Định,anhbia54.jpg,1-anh54.jpg,1
55,Thu Dịu,,5,25/03/2025 10:47:00,"Vi vu cùng nắng, cát & gió",nắng| cát & gió,anhbia55.jpg,1-anh55.jpg| 2-anh55.jpg| 3-anh55.jpg,1
56,TRƯỜNG GIANG,,5,20/04/2025 10:16:00,Vóc dáng mới ở Cát Tiến,Cát Tiến, anhbia56.jpg,1-anh56.jpg| 2-anh56.jpg,1
57, Lê Trân,,5,12/03/2025 17:07:00,Nhà thờ Đá Ghềnh Ráng,Nhà thờ Đá Ghềnh Ráng,anhbia57.jpg,1-anh57.jpg| 2-anh57.jpg,1
58,Thị Trân,,5,01/04/2025 14:19:00,Khu Du lịch Ghềnh Ráng Tiên Sa,Ghềnh Ráng Tiên Sa, anhbia58.jpg,1-anh58.jpg| 2-anh58.jpg,1
59,Ngọc Hân,,5,23/03/2025 18:20:00,Cầu Thị Nại - Top 10 cây cầu nổi tiếng được du khách thích chụp ảnh nhất,cầu thị nhại,anhbia59.jpg,1-anh59.jpg| 2-anh59.jpg,1
60,Lê Trân,,5,20/03/2025 18:21:00,Tháp Đôi - vẻ đẹp cổ kính trong lòng thành phố biển,tháp đôi,anhbia60.jpg,1-anh60.jpg| 2-anh60.jpg,1
61,PHẠM TIẾN SỸ,,6,21/04/2025 5:13:00,Phát triển hợp tác xã theo chuỗi giá trị,phát triển hợp tác xã,anhbia61.jpg,1.jpg,1
62,HỒNG HÀ,,6,02/03/2025 21:49:00,Hướng tới mục tiêu đột phá về chuyển đổi số và đổi mới sáng tạo,chuyển đổi số và đổi mới sáng tạo,anhbia62.jpg,1-62.jpg| 2-62.jpg,1
63,TRỌNG LỢI,,6,17/02/2025 5:46:00,Huyện Tuy Phước quyết tâm đạt chuẩn nông thôn mới nâng cao,chuẩn nông thôn mới nâng cao,anhbia63.jpg,1-63.jpg ,1
64,HẢI YẾN,,6,24/03/2025 6:31:00,Cơ hội lớn cho năng lượng tái tạo,cơ hội| năng lượng tái tạo,anhbia64.jpg,1-64.jpg,1
65,HẢI YẾN,,6,16/03/2025 22:43:00,Hoài Ân đầu tư hạ tầng để tạo đà phát triển bền vững,đầu tư hạ tầng| phát triển,anhbia65.jpg,1-65.jpg,1
66,ĐINH NGỌC,,6,13/04/2025 22:12:00,25 năm gắn bó với diều khí động học,diều khí động học| kỷ lục Guinness Việt Nam năm 2014,anhbia66.jpg,1-66.jpg,1
67,HẢI YẾN,,6,06/01/2025 6:28:00,Doanh nghiệp tiên phong tham gia chuỗi cung ứng xanh,doanh nghiệp| chuỗi cung ứng xanh,anhbia67.jpg,1-67.jpg,1
68,VĂN LỰC,,6,24/02/2025 10:34:00,"Công tác đo đạc, lập bản đồ địa chính: Góp phần nâng cao hiệu quả quản lý nhà nước về đất đai",quản lý nhà nước,anhbia68.jpg,1-68.jpg,1
69,HẢI YẾN,,6,09/02/2025 23:29:00,"Công ty CP công nghiệp KAMADO: Nỗ lực đầu tư, đảm bảo sản xuất liên tục",đầu tư| sản xuất liên tục,anhbia69.jpg,1-69.jpg,1
70,TRỌNG LỢI,,6,13/04/2025 22:19:00,Dược liệu quý “bén rễ” vùng núi cao An Toàn,dược liệu quý| xuất khẩu dược liệu sạch,anhbia70.jpg,1-70.jpg,1